Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S34361869,Turkey Vulture,Cathartes aura,2362,2,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,02-14-2017,08:00 AM,eBird - Traveling Count,40,1,.805,,1,,,"chilly, cloudy. walked a loop along creek and in pasture"
S34420761,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,02-17-2017,09:00 AM,eBird - Stationary Count,30,1,,,1,,,cool sunny morning
S34936877,Turkey Vulture,Cathartes aura,2362,2,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,03-03-2017,02:00 PM,eBird - Stationary Count,23,1,,,1
S35003724,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,03-06-2017,09:43 AM,eBird - Stationary Count,22,1,,,1
S35009395,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,03-06-2017,02:15 PM,eBird - Stationary Count,16,1,,,1
S35126142,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,03-12-2017,09:36 AM,eBird - Stationary Count,30,1,,,1,,,Cold cloudy day. 
S35157160,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,03-13-2017,01:35 PM,eBird - Casual Observation,,0,,,1,,,Went out to check on chickens
S35221483,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,03-16-2017,05:31 PM,eBird - Stationary Count,25,1,,,1
S35282326,Turkey Vulture,Cathartes aura,2362,2,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,03-19-2017,01:20 PM,eBird - Stationary Count,34,1,,,1
S35329026,Turkey Vulture,Cathartes aura,2362,2,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,03-21-2017,10:27 AM,eBird - Stationary Count,41,1,,,1
S35479854,Turkey Vulture,Cathartes aura,2362,5,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,03-27-2017,05:43 PM,eBird - Stationary Count,36,1,,,1
S35678400,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,04-03-2017,02:43 PM,eBird - Stationary Count,60,1,,,1
S35679462,Turkey Vulture,Cathartes aura,2362,6,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,04-03-2017,06:53 PM,eBird - Casual Observation,,0,,,1,,Roosting in dead pine tree
S35781046,Turkey Vulture,Cathartes aura,2362,6,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,04-08-2017,08:14 AM,eBird - Stationary Count,53,1,,,1,,The dogs found a dead stinking beaver and the buzzards want it too
S35811237,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,04-09-2017,08:02 AM,eBird - Stationary Count,55,1,,,1
S36072910,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,04-18-2017,12:00 PM,eBird - Stationary Count,101,1,,,1
S31064008,Mississippi Kite,Ictinia mississippiensis,2634,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,08-12-2016,08:00 AM,eBird - Stationary Count,30,1,,,1
S31089173,Mississippi Kite,Ictinia mississippiensis,2634,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,08-14-2016,09:30 AM,eBird - Stationary Count,30,1,,,1,,,cloudy muggy morning
S35811237,Mississippi Kite,Ictinia mississippiensis,2634,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,04-09-2017,08:02 AM,eBird - Stationary Count,55,1,,,1
S35312737,Sharp-shinned Hawk,Accipiter striatus,2807,2,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,03-20-2017,02:42 PM,eBird - Stationary Count,89,1,,,1
